rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
31,TradeTariffs,https://www.marketwatch.com/story/here-are-the-industries-that-could-get-coronavirus-aid-from-the-us-government-2020-03-17,20.0,11.92,9.317193675889326,2.598343685300207,58.08,100,Right,95.0,76.0,8,846.0,marketwatch.com,4621
32,TradeTariffs,https://www.vice.com/en_us/article/xgqkgj/shutting-the-us-canada-border-is-a-game-changer,80.0,13.65,10.261316872427985,3.3870958259847144,58.8,50,Partially Left,100.0,59.0,8,122.0,vice.com,6823
33,TradeTariffs,https://www.axios.com/us-china-trade-war-coronavirus-response-2b69d725-8532-4d91-83c8-70f73f6e2ac6.html,40.0,13.84,11.38988095238095,2.447222222222222,64.17,50,Partially Left,87.5,51.0,7,3844.0,axios.com,3682
34,TradeTariffs,https://www.gadgetsnow.com/tech-news/smartphone-companies-have-this-warning-for-the-government/articleshow/74560370.cms,40.0,8.29,1.9304653679653683,6.361111111111111,59.19,50,Partially Left,nan,nan,nan,nan,gadgetsnow.com,2832
35,TradeTariffs,https://www.idownloadblog.com/2020/03/31/apple-china-tariffs-tim-cook-emails/,80.0,9.62,8.076923076923077,1.5384615384615383,60.73,100,Left,nan,nan,nan,nan,idownloadblog.com,3170
36,TradeTariffs,https://www.gadgetsnow.com/tech-news/donald-trump-has-good-news-for-apple-fans/articleshow/74790239.cms,80.0,8.62,7.620670995670994,1.0,70.84,100,Left,nan,nan,nan,nan,gadgetsnow.com,3170
37,TradeTariffs,https://www.reuters.com/article/us-apple-tariffs-idUSKBN21A34A,40.0,3.92,2.619949494949495,1.2962962962962965,71.41,50,Partially Right,100.0,87.0,9,544.0,reuters.com,273
39,TradeTariffs,https://www.washingtonpost.com/business/2020/03/17/trade-war-tariff-coronavirus-business/,100.0,5.06,5.056818181818181,0.0,90.35,50,Partially Left,100.0,87.0,8,239.0,washingtonpost.com,7908
40,TradeTariffs,https://www.ilounge.com/news/apple-watch/apple-watch-now-excluded-from-us-tariffs-on-china-imports,80.0,2.06,1.0193452380952381,1.0416666666666665,93.97,50,Partially Right,nan,nan,nan,nan,ilounge.com,273
41,TradeTariffs,https://time.com/5807722/us-medical-supply-shortage/,80.0,8.45,6.8675952474653785,1.5814093314093312,75.58,50,Partially Left,95.0,64.0,8,1028.0,time.com,9154
43,TradeTariffs,https://www.reuters.com/article/usa-china-trade-cabinets-idUSKBN21B35F,80.0,9.69,9.6875,0.0,85.56,50,Partially Right,100.0,87.0,9,544.0,reuters.com,273
44,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-usa-tariffs-idUSKBN210043,80.0,6.16,4.761904761904762,1.398809523809524,91.64,50,Partially Right,100.0,87.0,9,544.0,reuters.com,273
46,TradeTariffs,https://www.wsj.com/articles/trump-spurns-business-plea-to-ease-tariffs-amid-coronavirus-11584557598,100.0,13.19,13.194444444444445,0.0,78.47,100,Right,100.0,77.0,8,535.0,wsj.com,5972
47,TradeTariffs,https://www.reuters.com/article/us-europe-usa-aircraft-boeing-idUSKBN20Z39A,80.0,10.54,5.65079365079365,4.888888888888888,64.81,50,Partially Left,100.0,87.0,9,544.0,reuters.com,273
48,TradeTariffs,http://www.iphonehacks.com/2020/03/apple-watch-tariff-waiver-approved.html,80.0,12.2,11.061111111111112,1.1388888888888888,60.93,50,Partially Left,nan,nan,nan,nan,iphonehacks.com,1606
49,TradeTariffs,https://www.foxbusiness.com/markets/us-china-phase-one-deal-on-track,80.0,9.88,9.12336093857833,0.7525879917184264,70.86,100,Right,nan,nan,nan,nan,foxbusiness.com,5202
50,TradeTariffs,https://www.reuters.com/article/us-usa-trade-china-energy-idUSKBN21C19U,80.0,8.29,5.166666666666666,3.125,72.61,0,Center,100.0,87.0,9,544.0,reuters.com,2870
51,TradeTariffs,https://www.engadget.com/2020-03-13-zte-us-investigates-bribery-allegations.html,80.0,12.57,11.240740740740742,1.3333333333333335,80.2,100,Right,100.0,76.0,8,566.0,engadget.com,2083
52,TradeTariffs,https://www.reuters.com/article/us-kosovo-serbia-tariffs-idUSKBN21J5M2,80.0,12.33,9.580266955266953,2.7462121212121215,74.4,50,Partially Left,100.0,87.0,9,544.0,reuters.com,2290
53,TradeTariffs,https://voxeu.org/article/global-value-chains-and-trade-protection,80.0,9.37,6.521348690991548,2.8443362193362196,74.19,50,Partially Left,nan,nan,nan,nan,voxeu.org,9862
54,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-china-cdc-exclusiv-idUSKBN21C3N5,80.0,10.15,7.795804022366523,2.3506944444444446,74.53,50,Partially Left,100.0,87.0,9,544.0,reuters.com,9833
55,TradeTariffs,https://cafehayek.com/2020/03/the-dangerous-virulence-of-ignorance-of-trade.html,80.0,10.84,7.813775510204082,3.023504273504273,61.31,100,Right,nan,nan,nan,nan,cafehayek.com,2379
56,TradeTariffs,https://economictimes.indiatimes.com/news/economy/foreign-trade/taiwan-seeks-formation-of-wto-dispute-panel-in-case-against-indias-import-duties-on-ict-products/articleshow/74888269.cms,40.0,20.93,1.8330627705627707,19.09722222222222,59.91,50,Partially Left,nan,nan,nan,nan,economictimes.indiatimes.com,2243
57,TradeTariffs,http://feeds.reuters.com/~r/reuters/businessNews/~3/XQrK4ZwPF6c/seeking-to-avoid-eu-tariffs-washington-state-house-passes-bill-to-drop-boeing-tax-break-idUSKBN20Z0IW,40.0,14.79,9.682692307692307,5.112179487179488,64.21,50,Partially Left,100.0,87.0,9,544.0,feeds.reuters.com,2243
58,TradeTariffs,https://reason.com/video/trumps-tariffs-are-hiking-the-price-of-your-favorite-whisky/,80.0,11.97,10.21590909090909,1.7578125,74.59,100,Left,100.0,64.0,7,11112.0,reason.com,1950
59,TradeTariffs,https://voxeu.org/article/memo-trade-ministers-how-trade-policy-can-help-fight-covid-19,100.0,14.51,8.699872097599371,5.807900432900433,69.16,100,Right,nan,nan,nan,nan,voxeu.org,7954
60,TradeTariffs,https://www.washingtonpost.com/opinions/2020/03/16/how-china-is-planning-use-coronavirus-crisis-its-advantage/,100.0,5.06,5.056818181818181,0.0,90.35,50,Partially Left,100.0,87.0,8,239.0,washingtonpost.com,5574
61,TradeTariffs,https://finance.yahoo.com/news/seeking-avoid-eu-tariffs-washington-041313566.html,80.0,15.77,11.1,4.666666666666667,65.79,50,Partially Left,87.5,95.0,8,8.0,finance.yahoo.com,2477
63,TradeTariffs,https://www.rollingstone.com/politics/politics-features/trumps-war-on-solar-power-968511/,80.0,15.93,12.241580142947333,3.683988320707071,63.53,100,Left,90.0,75.0,8,1728.0,rollingstone.com,9297
64,TradeTariffs,https://www.politico.com/news/2020/03/16/lobbyists-coronavirus-relief-efforts-131541,80.0,10.75,8.442129629629628,2.3055555555555554,74.12,50,Partially Left,100.0,74.0,8,941.0,politico.com,4950
65,TradeTariffs,https://talkbusiness.net/2020/03/economist-coronavirus-breadth-key-to-impact-on-u-s-world-trade/,80.0,16.13,15.812555830412972,0.31746031746031744,58.16,50,Partially Left,nan,nan,nan,nan,talkbusiness.net,3365
66,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-trade-ustr-idUSKBN21I042,80.0,6.97,3.819444444444444,3.1473214285714284,75.18,50,Partially Left,100.0,87.0,9,544.0,reuters.com,2103
67,TradeTariffs,https://io9.gizmodo.com/a-fate-worse-than-death-visits-a-dying-city-in-this-exc-1842029045,80.0,10.08,6.2931420112454575,3.784025840060324,69.52,100,Left,75.0,60.0,8,529.0,io9.gizmodo.com,12886
68,TradeTariffs,https://www.fool.com/investing/2020/03/13/coronavirus-fears-take-bite-brown-forman-guidance.aspx,80.0,8.83,3.743386243386243,5.091332829428067,74.97,50,Partially Left,nan,nan,nan,nan,fool.com,4466
69,TradeTariffs,https://www.cnet.com/news/huawei-ban-full-timeline-us-government-china-trump-ban-rural-carriers-security-threat/,40.0,7.24,5.288051948051946,1.9552128427128421,81.58,50,Partially Left,100.0,86.0,8,155.0,cnet.com,25288
70,TradeTariffs,https://www.dailysignal.com/2020/04/03/decreasing-us-china-trade-is-worrisome/,80.0,13.09,6.653934300993125,6.436887254901959,72.31,50,Partially Left,100.0,65.0,8,9372.0,dailysignal.com,4004
71,TradeTariffs,https://economictimes.indiatimes.com/news/economy/policy/smartphone-companies-warn-india-of-looming-wto-probe-into-duty-format/articleshow/74558321.cms,40.0,7.51,1.9304653679653683,5.584054834054835,59.45,50,Partially Left,nan,nan,nan,nan,economictimes.indiatimes.com,2858
74,TradeTariffs,https://finance.yahoo.com/news/trump-signs-off-deferring-tariffs-050250030.html,40.0,5.75,4.432043650793651,1.3194444444444444,68.39,50,Partially Left,87.5,95.0,8,8.0,finance.yahoo.com,2103
75,TradeTariffs,https://www.theregister.co.uk/2020/03/11/uk_budget_2020_tech/,40.0,11.96,8.243837181337184,3.711405723905723,71.34,100,Right,nan,nan,nan,nan,theregister.co.uk,5230
76,TradeTariffs,https://voxeu.org/article/impact-china-us-trade-agreement-developing-countries,80.0,8.91,6.141455239556503,2.771038443506798,75.59,100,Right,nan,nan,nan,nan,voxeu.org,10172
78,TradeTariffs,https://www.project-syndicate.org/commentary/covid19-only-multilateral-response-can-work-by-anne-krueger-2020-03,80.0,10.27,7.626724562700176,2.6397357723577235,75.44,50,Partially Left,87.5,nan,7,45368.0,project-syndicate.org,6122
81,TradeTariffs,https://www.politico.com/news/2020/03/26/trump-china-coronavirus-148806,40.0,11.96,9.256222943722944,2.705026455026455,77.37,100,Left,100.0,74.0,8,941.0,politico.com,6142
82,TradeTariffs,https://finance.yahoo.com/news/u-trade-regulators-approve-tariff-174127823.html,80.0,3.92,2.619949494949495,1.2962962962962965,71.41,50,Partially Right,87.5,95.0,8,8.0,finance.yahoo.com,273
83,TradeTariffs,https://cafehayek.com/2020/03/happy-244th-birthday-an-inquiry-into-the-nature-and-causes-of-the-wealth-of-nations.html,80.0,17.29,14.258169934640522,3.0311624649859947,47.56,100,Right,nan,nan,nan,nan,cafehayek.com,2911
84,TradeTariffs,https://finance.yahoo.com/news/u-excludes-chinese-medical-products-010639440.html,80.0,6.16,4.761904761904762,1.398809523809524,91.64,50,Partially Right,87.5,95.0,8,8.0,finance.yahoo.com,273
85,TradeTariffs,https://www.fool.com/investing/2020/03/09/fedex-cfo-to-retire-before-years-end.aspx,80.0,2.75,2.2875420875420875,0.4603174603174603,69.1,50,Partially Left,nan,nan,nan,nan,fool.com,1613
86,TradeTariffs,https://www.fool.com/investing/2020/03/09/why-wayfair-stock-tanked-today.aspx,80.0,15.39,12.1875,3.2060185185185186,54.5,50,Partially Right,nan,nan,nan,nan,fool.com,1857
87,TradeTariffs,https://news.yahoo.com/senate-plans-vote-sick-leave-114836358.html,80.0,13.45,9.562585992818553,3.8845386485284754,69.14,100,Right,87.5,95.0,8,8.0,news.yahoo.com,13958
88,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-malaysia-focus-idUSKBN20X0BG,80.0,13.79,7.380892255892256,6.410634118967451,68.19,50,Partially Right,100.0,87.0,9,544.0,reuters.com,5820
89,TradeTariffs,https://news.yahoo.com/eu-hits-china-egypt-five-123946369.html,80.0,9.38,9.375,0.0,72.92,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,1970
90,TradeTariffs,https://www.marketwatch.com/story/these-industries-are-more-likely-to-shed-jobs-if-the-coronavirus-pandemic-worsens-but-one-sector-looks-recession-proof-2020-03-11,40.0,10.62,7.368174374126755,3.2494331065759634,65.79,50,Partially Left,95.0,76.0,8,846.0,marketwatch.com,10155
91,TradeTariffs,https://news.yahoo.com/tasked-reassuring-us-trump-fumbles-fumes-150003898.html,80.0,12.28,6.392620789172514,5.890804597701149,63.52,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,3874
92,TradeTariffs,https://indianexpress.com/article/business/commodities/oil-drops-over-1-on-oversupply-after-opec-delays-meeting-6349407/,80.0,14.24,4.365079365079365,9.877054272887605,55.02,0,Center,nan,nan,nan,nan,indianexpress.com,3367
93,TradeTariffs,https://news.yahoo.com/u-boost-tariffs-airbus-planes-190302500.html,80.0,11.54,2.8281249999999996,8.708333333333334,69.59,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,3367
94,TradeTariffs,https://finance.yahoo.com/news/trump-no-promises-regarding-steel-023151047.html,40.0,2.39,1.5426997245179062,0.8471074380165289,83.4,50,Partially Left,87.5,95.0,8,8.0,finance.yahoo.com,1474
95,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-autos-parts-idUSKBN2163P5,80.0,7.64,5.543154761904762,2.0932539682539684,78.19,50,Partially Left,100.0,87.0,9,544.0,reuters.com,1713
96,TradeTariffs,https://news.yahoo.com/u-boost-tariffs-airbus-planes-190302798.html,80.0,11.54,2.8281249999999996,8.708333333333334,69.59,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,3617
97,TradeTariffs,https://www.reuters.com/article/us-health-coronavirus-guterres-idUSKBN21B2N7,80.0,18.59,15.816220238095239,2.777777777777778,48.36,50,Partially Right,100.0,87.0,9,544.0,reuters.com,1525
99,TradeTariffs,https://www.theatlantic.com/ideas/archive/2020/03/dont-abandon-globalizationmake-it-better/608872/,80.0,19.14,13.790322580645162,5.349462365591397,67.27,100,Right,92.5,79.0,8,1360.0,theatlantic.com,16568
100,TradeTariffs,https://finance.yahoo.com/news/apple-watches-excluded-u-tariffs-161530508.html,80.0,14.2,13.010204081632654,1.1904761904761905,80.1,50,Partially Right,87.5,95.0,8,8.0,finance.yahoo.com,273
