rank,topic,url,readability,sentence_level_sentiment,sentence_level_objectivity,bias,credibility,trust_metric,google_page_rank,alexa_reach_rank
41,TradeTariffs,https://www.businessinsider.com/trump-just-earned-his-highest-approval-rating-ever-amid-impeachment-2020-2,100.0,10.35,70.14,100,100.0,57.0,8,352.0
42,TradeTariffs,https://www.bbc.com/news/uk-51351914,40.0,16.64,62.8,50,95.0,84.0,8,81.0
43,TradeTariffs,https://news.yahoo.com/trumps-trade-deal-china-looks-132300395.html,80.0,11.46,75.73,100,87.5,95.0,8,8.0
44,TradeTariffs,https://gizmodo.com/plague-big-opportunity-rat-says-1841363830,80.0,12.82,66.28,100,75.0,60.0,8,529.0
45,TradeTariffs,https://www.cnet.com/news/as-new-hampshire-primary-nears-here-are-the-biggest-tech-issues-on-the-campaign-trail/,80.0,11.99,73.08,100,100.0,86.0,8,155.0
46,TradeTariffs,https://markets.businessinsider.com/news/stocks/gauge-american-industrial-output-slipped-production-manufacturing-rise-december-2019-2020-1-1028826586,80.0,15.75,61.07,50,100.0,57.0,8,352.0
47,TradeTariffs,https://news.yahoo.com/trump-eu-chief-meet-davos-020923464.html,80.0,9.88,76.0,50,87.5,95.0,8,8.0
48,TradeTariffs,https://www.marketwatch.com/story/us-trade-deficit-falls-for-first-time-in-6-years-2020-02-05,80.0,14.41,67.83,50,95.0,76.0,8,846.0
49,TradeTariffs,https://www.reuters.com/article/us-britain-eu-challenges-idUSKBN1ZU1QI,80.0,12.76,70.33,50,100.0,87.0,9,544.0
51,TradeTariffs,https://www.economist.com/finance-and-economics/2020/01/25/transatlantic-trade-relations-are-still-tense,80.0,6.32,79.28,100,100.0,72.0,8,2503.0
52,TradeTariffs,https://appleinsider.com/articles/20/01/21/france-will-not-apply-digital-tax-on-apple-others-while-trade-discussions-continue,40.0,2.93,83.97,50,nan,nan,nan,nan
53,TradeTariffs,https://markets.businessinsider.com/news/stocks/trump-state-union-touts-blue-collar-boom-factories-shed-jobs-2020-2-1028878380,80.0,7.25,82.56,100,100.0,57.0,8,352.0
54,TradeTariffs,https://www.businessinsider.com/trump-state-union-touts-blue-collar-boom-factories-shed-jobs-2020-2,80.0,7.25,82.56,100,100.0,57.0,8,352.0
55,TradeTariffs,https://www.buzzfeed.com/emilyashton/brexit-day-what-happens-next,80.0,7.73,71.13,100,nan,nan,nan,nan
56,TradeTariffs,https://www.marketwatch.com/story/trumps-trade-deal-beat-market-expectations-but-wont-boost-earnings-analysts-say-2020-01-16,80.0,10.61,60.3,100,95.0,76.0,8,846.0
57,TradeTariffs,https://finance.yahoo.com/news/global-markets-world-shares-china-091733198.html,40.0,14.68,71.43,50,87.5,95.0,8,8.0
58,TradeTariffs,https://news.yahoo.com/trump-administration-threatened-25-tariffs-131500484.html,80.0,11.41,81.14,100,87.5,95.0,8,8.0
59,TradeTariffs,https://www.reuters.com/article/us-britain-eu-factbox-idUSKBN1ZX2GO,40.0,10.43,76.99,50,100.0,87.0,9,544.0
60,TradeTariffs,https://www.reuters.com/article/us-britain-eu-economy-idUSKBN1ZP0IM,80.0,11.66,62.21,50,100.0,87.0,9,544.0
61,TradeTariffs,https://www.businessinsider.com/trump-davos-rambling-speech-senate-impeachment-2020-1,100.0,15.58,72.08,100,100.0,57.0,8,352.0
62,TradeTariffs,https://thenextweb.com/hardfork/2020/01/20/huawei-cfo-extradition-canada-us-bank-fraud-iran-sanctions-court-case/,80.0,9.88,79.02,50,nan,nan,nan,nan
63,TradeTariffs,https://www.marketwatch.com/story/dow-set-to-join-sp-500-nasdaq-at-records-as-china-says-it-will-slash-tariffs-on-75-billion-in-us-goods-2020-02-06,80.0,20.43,61.17,50,95.0,76.0,8,846.0
64,TradeTariffs,https://www.reuters.com/article/us-usa-election-foreignpolicy-factbox-idUSKBN1ZS1A7,80.0,7.28,79.65,50,100.0,87.0,9,544.0
65,TradeTariffs,https://www.businessinsider.com/europe-competition-commissioner-defies-trump-digital-tax-tech-2020-1,80.0,15.53,66.72,100,100.0,57.0,8,352.0
66,TradeTariffs,https://www.businessinsider.com/us-allies-abandoning-trump-iran-qasem-soleimani-attack-alone-2020-1,80.0,12.17,73.07,50,100.0,57.0,8,352.0
67,TradeTariffs,https://www.businessinsider.com/brexit-finally-happens-united-kingdom-leaves-european-union-boris-johnson-2020-1,80.0,13.09,66.42,50,100.0,57.0,8,352.0
68,TradeTariffs,https://time.com/5768632/donald-trump-davos-u-s-economy/,40.0,8.69,84.02,50,95.0,64.0,8,1028.0
69,TradeTariffs,https://news.yahoo.com/first-trade-war-now-coronavirus-203936959.html,80.0,10.15,75.29,100,87.5,95.0,8,8.0
70,TradeTariffs,https://www.marketwatch.com/story/the-china-trade-deal-doesnt-protect-american-workers-or-american-interests-2020-01-16,80.0,17.18,66.27,100,95.0,76.0,8,846.0
71,TradeTariffs,https://www.gamespot.com/articles/ps5-and-xbox-series-x-trumps-tariffs-are-not-going/1100-6473108/,80.0,13.97,46.69,100,nan,nan,nan,nan
72,TradeTariffs,https://www.ctvnews.ca/business/bank-of-canada-keeps-key-rate-target-on-hold-trims-growth-expectations-for-2020-1.4778068,80.0,10.17,67.84,50,100.0,65.0,7,3261.0
