rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
6,ElectionBorisJohnson,https://news.yahoo.com/u-k-delays-london-mayoral-161736006.html,40.0,10.04,7.178819444444444,2.864583333333333,67.28,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,1402
7,ElectionBorisJohnson,https://www.usatoday.com/story/news/health/2020/04/07/coronavirus-live-updates-stimulus-trump-boris-johnson-wisconsin-election/2956102001/,80.0,13.06,11.147101836481536,1.9120352287645526,69.26,50,Partially Left,100.0,84.0,8,363.0,usatoday.com,9166
8,ElectionBorisJohnson,https://slate.com/news-and-politics/2020/04/new-white-house-press-secretary-kayleigh-mcenany-denying-coronavirus.html,80.0,21.38,19.105113636363637,2.272727272727273,58.12,100,Left,100.0,76.0,8,2514.0,slate.com,2153
9,ElectionBorisJohnson,https://boingboing.net/2020/04/07/easter-bunny-and-tooth-fairy-o.html,80.0,19.63,19.626262626262626,0.0,54.39,50,Partially Right,62.0,72.0,8,4847.0,boingboing.net,3012
10,ElectionBorisJohnson,https://www.businessinsider.com/experts-explain-what-happens-if-trump-trudeau-johnson-catch-coronavirus-2020-3,80.0,13.35,5.948154641654643,7.399491742825076,68.68,50,Partially Right,100.0,57.0,8,352.0,businessinsider.com,8495
11,ElectionBorisJohnson,https://www.theatlantic.com/international/archive/2020/03/london-mayoral-election-coronavirus-covid19/607924/,80.0,15.78,15.075644841269842,0.703125,67.08,50,Partially Right,92.5,79.0,8,1360.0,theatlantic.com,6379
12,ElectionBorisJohnson,https://news.yahoo.com/crisis-leadership-over-virus-grips-095248459.html,80.0,13.95,9.829736761554942,4.1186868686868685,65.78,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,6018
13,ElectionBorisJohnson,https://www.liberation.fr/planete/2020/03/21/coronavirus-les-coulisses-du-bras-de-fer-entre-emmanuel-macron-et-boris-johnson_1782622?xtor=rss-450,80.0,4.72,0.5555555555555556,4.166666666666666,82.22,50,Partially Left,nan,nan,nan,nan,liberation.fr,273
14,ElectionBorisJohnson,http://www.marketwatch.com/story/britains-labour-party-turns-page-on-corbynite-socialism-with-starmer-as-new-leader-2020-04-04,80.0,18.64,15.142457180500656,3.4993961352657004,62.54,50,Partially Left,95.0,76.0,8,846.0,marketwatch.com,3772
15,ElectionBorisJohnson,https://www.aljazeera.com/news/2020/04/trump-world-leaders-react-british-pm-coronavirus-condition-200407005844070.html,80.0,21.7,14.716272798240013,6.9857533177205315,65.39,50,Partially Left,82.5,73.0,8,nan,aljazeera.com,4449
16,ElectionBorisJohnson,https://economictimes.indiatimes.com/nri/visa-and-immigration/rishi-sunaks-budget-to-make-cost-of-uk-visa-higher/articleshow/74589650.cms,40.0,8.4,8.401574675324676,0.0,62.71,0,Center,nan,nan,nan,nan,economictimes.indiatimes.com,3294
17,ElectionBorisJohnson,https://news.yahoo.com/boris-johnson-turned-britain-petri-130300274.html,20.0,19.22,11.193341110548904,8.030303030303031,50.18,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,5638
